Query,Tab Complete,Regex Matches,Exact and Fuzzy Matches,Total Matches,Combined Search Time (ms),Merging Time (ms),Total Runtime (ms),,Result 1,Result 2,Result 3,Result 4,Result 5,Result 6,Result 7,Result 8,Result 9,Result 10,Result 11,Result 12,Result 13,Result 14,Result 15
The Shinin,The Shining,1,14,15,194.242828,0.027433,194.375925,,The Shining,The Shipping News,And the Ship Sails On,Last Images of the Shipwreck,Shining Through,Shining Night: A Portrait of Composer Morten Lauridsen,A Bright Shining Lie,One Bright Shining Moment,The Sinking of the Laconia,The Singing Nun,The Singing Detective,Choppertown: The Sinners,The Fox & the Child,The Fox & the Child,The Son of the Sheik
Bravehar,,0,15,15,152.663423,0.034486,152.881685,,Braveheart,Home of the Brave,The Brave One,The Bravados,Lonely Are the Brave,Michael the Brave,The Brave,The Brave Little Toaster Goes to Mars,Michael the Brave,Battle of the Brave,Home of the Brave,The Brave One,Home of the Brave,Brave Story,Brave
The Sixth Sens,The Sixth Sense,1,14,15,209.463623,0.039869,209.56863,,The Sixth Sense,The Inn of the Sixth Happiness,The Sixties,The Sensation of Sight,The Six Million Dollar Man,The Five Senses,The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants 2,Sense and Sensibility,Sense & Sensibility,The Sisterhood of Night,A Sense of History,Ayn Rand: A Sense of Life,Ayn Rand: A Sense of Life,Tabu: A Story of the South Seas
The Usual Suspects,The Usual Suspects,1,14,15,116.7103,0.039587,116.796784,,The Usual Suspects,Business as Usual,The Suspect,The Suspect,The Suspect,Prime Suspect: The Lost Child,Prime Suspect 6: The Last Witness,Prime Suspect 7: The Final Act,Prime Suspect: Inner Circles,Prime Suspect 5: Errors of Judgement,Suspect X,Prime Suspect 2,Prime Suspect 3,The Suspended Step of the Stork,The Subject Was Roses
The Godfathe: Part II,,0,15,15,173.799902,0.013538,173.862379,,The Godfather: Part II,The Godfather: Part III,The Hangover Part II,The Toxic Avenger Part II,"The Karate Kid, Part II",The Last Exorcism Part II,Hostel: Part II,Gasland Part II,"That's Entertainment, Part II",Back to the Future Part II,Father of the Bride Part II,Rambo: First Blood Part II,The Gods Must Be Crazy II,The Godfather,The Hangover Part III
Saving Private Rya,Saving Private Ryan,1,14,15,111.752212,0.045424,111.847393,,Saving Private Ryan,Saving Grace,Saving Face,Saving God,Saving Face,Saving Christmas,Saving Sarah Cain,Saving Mr. Banks,Private,Private Romeo,Private Benjamin,Private Confessions,Private Parts,Private Lessons,Private Eye
Back to the Futur,Back to the Future,3,12,15,123.111139,0.046081,123.239266,,Back to the Future,Back to the Future Part II,Back to the Future Part III,Back to School,Back to Stay,Back to the USSR - takaisin Ryssiin,T-Rex: Back to the Cretaceous,Fight Back to School,Tremors 3: Back to Perfection,Before Flying Back to Earth,Before Flying Back to Earth,"Come Back to the 5 & Dime, Jimmy Dean, Jimmy Dean",A Mother's Courage: Talking Back to Autism,A Mother's Courage: Talking Back to Autism,Yes or No: Come Back to Me
The Truman Sho,The Truman Show,1,14,15,122.447577,0.040795,122.539956,,The Truman Show,The Trumpet of the Swan,"The Missing Piece: Mona Lisa, Her Thief, the True Story",Dark Prince: The True Story of Dracula,For Greater Glory: The True Story of Cristiada,The True Meaning of Christmas Specials,Ten Minutes Older: The Trumpet,The Truth,The Truce,The Truth About Jane,The Truth About Charlie,Where the Truth Lies,Where the Truth Lies,The Trouble with the Truth,The Truth About Cats & Dogs
The Social Netwrk,,0,15,15,96.685492,0.014111,96.769924,,The Social Network,#chicagoGirl: The Social Network Takes on a Dictator,The Cheyenne Social Club,Social Genocide,Buena Vista Social Club,A Very Social Secretary,The Scalphunters,Socialphobia,The Sicilian Clan,The Sicilian Girl,The Source: The Story of the Beats and the Beat Generation,"Jimmy Rosenberg: The Father, the Son & the Talent",The Son of the Sheik,The Sorrow and the Pity,The Day of the Locust
The_Matrix,,0,15,15,108.718165,0.036041,108.800917,,The Mating of Millie,The Mating Season,The Matchmaker,The Mating Game,The Mattei Affair,The Match Factory Girl,The Matrix,Beyond the Mat,The Matrix Reloaded,The Matrix Revolutions,The Matthew Shepard Story,The Matador,The Matrimony,The Matriarch,George Harrison: Living in the Material World
Th Mtrix,,0,15,15,107.912149,0.214551,109.051389,,The Matrix,The Matrix Reloaded,The Matrix Revolutions,The Trials of Oscar Wilde,"Muriel, or The Time of Return",The Trial,The Trial of Joan of Arc,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,The Triple Echo,The Marriage of Maria Braun,From the Life of the Marionettes,The Trip to Bountiful,The Trio,Marie from the Bay of Angels,The Year of Maria
Jrassic Park,,0,15,15,111.563269,0.056434,111.712257,,Jurassic Park,Jurassic Park III,Jurassic Park III,Gorky Park,Dog Park,Mansfield Park,Gosford Park,Wicker Park,Paranoid Park,Mansfield Park,Blowfly Park,Pervert Park,Trailer Park Jesus,Broken Glass Park,The Park Is Mine
Ttanik,,0,15,15,110.255961,0.056482,110.410346,,Thank God It's Friday,Raise the Titanic,Tank,Titanica,"To Wong Foo Thanks for Everything, Julie Newmar",Titanic,Thank God He Met Lizzie,Titanic,Titanic Town,The Chambermaid on the Titanic,Thanksgiving Family Reunion,Thank You for Smoking,The Ten Lives of Titanic the Cat,Thank You,Thanks for Sharing
The Gdfather,,0,15,15,98.886462,0.04675,99.026203,,The Godfather,The Gathering,The Gift,The Gathering Storm,The Godfather: Part II,The Godfather: Part III,Exit Through the Gift Shop,"The Good, the Bad, the Weird",Pure Country 2: The Gift,The Fox & the Child,The Fox & the Child,The Dish & the Spoon,"The World, the Flesh and the Devil",The Lord of the Rings: The Fellowship of the Ring,The Hobbit: The Battle of the Five Armies
Frst Gmp,,0,15,15,114.295605,0.049453,114.482823,,The First Grader,First Monday in October,Pokèmon: The First Movie - Mewtwo Strikes Back,My First Mister,Pokèmon: The First Movie - Mewtwo Strikes Back,Angels in Fast Motion,To Get to Heaven First You Have to Die,The First Man,Green Lantern: First Flight,I Give My First Love to You,The First Movie,Olympia Part One: Festival of the Nations,Olympia Part Two: Festival of Beauty,His Girl Friday,The Forty-first
Str Wrs,,0,15,15,95.070839,0.033893,95.216904,,Star Wars: Episode V - The Empire Strikes Back,The Strength of Water,The Street with No Name,Walking the Streets of Moscow,When a Stranger Calls Back,Wall Street: Money Never Sleeps,"Above the Street, Below the Water",The Strange Case of Wilhelm Reich,Strawberry Wine,The White Stripes Under Great White Northern Lights,"The Other One: The Long, Strange Trip of Bob Weir",When a Stranger Calls,When a Stranger Calls,One Piece: Strong World,Resurrecting the Street Walker
Th Shwshnk Rdemptn,,0,15,15,115.919891,0.036563,116.080726,,The Shawshank Redemption,The Shawshank Redemption,Road to Redemption,Redemption: The Stan Tookie Williams Story,The Redemption of General Butt Naked,The Raid: Redemption,The Great Train Robbery,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",Gertie the Dinosaur,In the Land of the Head Hunters,The Perils of Pauline,The Italian,The Poor Little Rich Girl,The Blue Bird,From Hand to Mouth
Pulp Fcton,,0,15,15,107.097154,0.037276,107.254582,,Pulp Fiction,"Pulp: a Film About Life, Death & Supermarkets",Pull My Daisy,Pull My Daisy,Purple Noon,The Pumpkin Eater,"It's the Great Pumpkin, Charlie Brown",Pumping Iron,The Purple Taxi,Purple Rain,The Color Purple,The Purple Rose of Cairo,Pumpkinhead,Puppetmaster,Puppet Master II
